German,French
Meine Freundin arbeitet im Büro und ich besuche sie oft.,Ma petite amie travaille au bureau et je la visite souvent.
Herr Direktor wunscht Ihnen alles Gute und schickt ihnen einen Cognac.,Le directeur vous souhaite une santé de fer et vous envoie du cognac.
"Das Internet bietet viele Möglichkeiten, um sich weiterzubilden und neue Dinge zu lernen.",Internet offre de nombreuses possibilités pour se former et apprendre de nouvelles choses.
"Mein Chef ist sehr anspruchsvoll, aber ich respektiere ihn dafür.","Mon patron est très exigeant, mais je respecte cela chez lui."
Das Lesen von Büchern über verschiedene Kulturen erweitert unser Wissen.,La lecture de livres sur différentes cultures élargit nos connaissances.
Ein Abstecher ins Theater kann sehr unterhaltsam sein.,Un détour au théâtre peut être très divertissant.
"Ich bin froh, dass ich solche guten Freunde habe.",Je suis content d'avoir de tels bons amis.
Unsere Abteilung im Büro organisiert regelmäßig Team-Building-Veranstaltungen.,Notre département au bureau organise régulièrement des événements de construction d'équipe.
Die Musikschule bietet Unterricht in verschiedenen Instrumenten wie Klavier und Gitarre an.,L'école de musique propose des cours sur différents instruments comme le piano et la guitare.
"Ich liebe es, im Winter Ski zu fahren und durch die schneebedeckten Berge zu gleiten.",J'adore skier en hiver et glisser à travers les montagnes enneigées.
Ich bin müde und möchte schlafen,Je suis fatigué et je veux dormir
"Unser Team hat ein Projekt entwickelt, das sehr erfolgreich war.",Notre équipe a développé un projet qui a été très réussi.
Wir organisieren regelmäßig Gruppenarbeiten und Projekte.,Nous organisons régulièrement des travaux de groupe et des projets.
Ein Besuch in einem Museum kann sehr interessant sein.,Une visite à un musée peut être très intéressante.
Meine beste Freundin ist auch meine Kommilitonin.,Ma meilleure amie est aussi ma camarade de classe.
Mein Herr hat mir alles erzählt.,Monseigneur m'a tout raconté!
Nur ein Engel oder ein Hund würden das tun.,"Cela, seul un ange ou un chien en serait capable."
"An der Universität lernt man nicht nur Fachwissen, sondern auch Lebenskompetenz.","À l'université, on apprend non seulement des connaissances spécialisées, mais également des compétences de vie."
So 'n paar Sachen für so' nen Typen.,Et bien je... je fais quelques trucs pour ce type.
Die Bibliothek unserer Schule bietet eine große Auswahl an Büchern und Zeitschriften an.,La bibliothèque de notre école offre un grand choix de livres et de revues.
Die Universität bietet viele Kurse für ausländische Studenten an.,L'université propose de nombreux cours pour les étudiants étrangers.
Ich treffe mich regelmäßig mit meinen ehemaligen Mitstudenten.,Je me rencontre régulièrement avec mes anciens condisciples.
Das ist das Haus meines Vaters!,Ceci est la maison de mon Père!
Die Musik ist ein wichtiger Bestandteil unserer Kultur und Unterhaltung.,La musique est une partie intégrante de notre culture et divertissement.
"Weisst du, mein Laden ist sehr berühmt für sein leckeres Brot.",Mon magasin était renommé pour ses petits pains vapeurs.
"Laszlo... wenn wir zurückkommen, musst du dich versetzen lassen.",Je gagnerai son respect.
Die beiden sind seit vielen Jahren ein Paar und haben sich auf dem Campus kennengelernt.,Les deux sont un couple depuis de nombreuses années et se sont rencontrés sur le campus.
"Ein Urlaub am Meer ist genau das Richtige, um sich zu erholen.",Des vacances à la mer sont exactement ce qu'il faut pour se ressourcer.
"Ich gehe gerne ins Fitnessstudio, um meine Gesundheit und Fitness zu verbessern.",J'aime aller à la salle de sport pour améliorer ma santé et ma condition physique.
Meine Kollegen im Büro sind auch meine Freunde.,Mes collègues du bureau sont aussi mes amis.
"Ich denke, dass die Zeit an der Universität die beste Zeit meines Lebens war.",Je pense que le temps passé à l'université était le meilleur moment de ma vie.
"Ich habe dir bereits gesagt, das Volk braucht einen Helden.",le peuple a besoin de héros.
"Reisen kann sehr anstrengend sein, aber auch sehr lohnenswert.","Voyager peut être très fatigant, mais aussi très gratifiant."
Das hab ich noch niemandem gesagt!,Je le traduis pour personne.
Der Flug nach Paris dauert drei Stunden,"Le vol pour Paris dure trois heures,"
"Ich habe das Gefühl, dass sie zurück zu sich gefunden haben.",Je les sens qui reviennent.
"Der ist Teil einer Fluglinien- Werbeaktion, die verblüffend ist.",Ça fait partie d'une super campagne de promotion.
Meine Schwester wohnt in Berlin,"Ma sœur habite à Berlin,"
Mein Chef ist sehr zufrieden mit meiner Arbeit und gibt mir regelmäßig Feedback.,Mon patron est très satisfait de mon travail et me donne régulièrement des commentaires.
Das Fernsehen bietet viele verschiedene Sendungen und Programme an.,La télévision propose de nombreux programmes et émissions différents.
"Die Schule ist ein wichtiger Teil unseres Lebens, wo wir lernen und wachsen.","L'école est une partie importante de notre vie, où nous apprenons et grandissons."
Unsere Freundschaft ist sehr stark und wir helfen uns immer gegenseitig.,Notre amitié est très forte et nous nous aidons toujours mutuellement.
"Mein Lieblingssport ist Basketball, weil ich die Schnelligkeit und Strategie des Spiels mag.","Mon sport préféré est le basket-ball, car j'aime la rapidité et la stratégie du jeu."
"Vollbringe eines für uns, damit wir dir glauben können.",Fais- nous croire en toi.
"Ich liebe es, neue Menschen auf dem Campus kennenzulernen.",J'adore rencontrer de nouvelles personnes sur le campus.
Bestätigen Sie bitte den Termin um 13 Uhr fürs Essen im Jules Verne im Eiffelturm.,"Veuillez confirmer déjeuner ce jour, 13 h, restaurant de la Tour Eiffel."
Das Fernsehen bietet eine Vielzahl von Sendungen und Filmen zum Unterhalten.,La télévision propose une grande variété d'émissions et de films pour divertir.
Sie spricht fünf Sprachen fließend,"Elle parle couramment cinq langues,"
