German,French
Ich studiere an der Universität und habe viele Freunde dort.,J'étudie à l'université et j'ai beaucoup d'amis là-bas.
Meine beste Freundin arbeitet im Büro nebenan.,Ma meilleure amie travaille dans le bureau à côté.
Wir verbringen unsere freie Zeit oft zusammen mit unseren Kollegen aus dem Büro.,Nous passons souvent notre temps libre ensemble avec nos collègues du bureau.
Die Universitätsbibliothek ist mein Lieblingsort zum Lernen.,La bibliothèque universitaire est mon endroit préféré pour étudier.
Mein Professor ist sehr nett und hilft mir bei allen Fragen.,Mon professeur est très gentil et m'aide à toutes les questions.
"Ich bin froh, dass ich solche netten Kollegen im Büro habe.",Je suis heureux d'avoir de tels collègues agréables au bureau.
Unsere Gruppe von Freunden trifft sich jeden Wochenende.,Notre groupe d'amis se réunit chaque week-end.
Das Office-Team organisiert regelmäßig Teambuilding-Aktivitäten.,L'équipe du bureau organise régulièrement des activités de construction d'équipes.
"Meine Freundin hat mich dazu ermutigt, ein Studium aufzunehmen.",Ma copine m'a encouragée à entamer des études.
Der Campus unserer Universität ist sehr groß und schön.,Le campus de notre université est très grand et beau.
Wir haben eine enge Beziehung zu unserem Chef im Büro.,Nous avons une relation étroite avec notre patron au bureau.
Die Vorlesungen an der Universität sind sehr interessant.,Les cours à l'université sont très intéressants.
Meine Kommilitonen sind alle sehr freundlich und helfen einander.,Mes camarades de classe sont tous très aimables et s'entraident.
Unser Büro ist gut ausgestattet und bietet gute Arbeitsbedingungen.,Notre bureau est bien équipé et offre de bonnes conditions de travail.
"Ich liebe es, neue Leute kennenzulernen, insbesondere an der Universität.","J'adore rencontrer de nouvelles personnes, notamment à l'université."
Die Atmosphäre im Büro ist sehr entspannt und angenehm.,L'atmosphère du bureau est très détendue et agréable.
Wir feiern immer die Geburtstage unserer Kollegen im Büro.,Nous célébrons toujours les anniversaires de nos collègues du bureau.
Die Bibliothek bietet Zugang zu vielen wissenschaftlichen Artikeln und Büchern.,La bibliothèque offre un accès à de nombreux articles scientifiques et livres.
Meine Freunde und ich unterstützen uns gegenseitig in schwierigen Zeiten.,Mes amis et moi nous soutenons mutuellement en période difficile.
Unser Team im Büro arbeitet sehr effizient und produktiv zusammen.,Notre équipe du bureau travaille très efficacement et de manière productive ensemble.
Wir verbringen unsere Freizeit oft mit unseren Kollegen aus dem Büro.,Nous passons souvent notre temps libre avec nos collègues du bureau.
Mein Professor ist sehr freundlich und hilft mir bei allen Problemen.,Mon professeur est très gentil et m'aide avec tous les problèmes.
"Ich bin dankbar für meine Freundschaften, die ich während meines Studiums geschlossen habe.",Je suis reconnaissant pour les amitiés que j'ai nouées pendant mes études.
Das Leben auf dem Campus ist sehr abwechslungsreich und unterhaltsam.,La vie sur le campus est très variée et divertissante.
Meine Kolleginnen und Kollegen sind alle sehr nett und unterstützen mich bei meiner Arbeit.,Mes collègues sont tous très sympathiques et me soutiennent dans mon travail.
"Ich liebe es, neue Leute kennenzulernen und Beziehungen zu anderen Kulturen aufzubauen.",J'adore rencontrer de nouvelles personnes et établir des relations avec d'autres cultures.
Die Atmosphäre im Büro ist sehr entspannt und fördert die Kreativität.,L'ambiance au bureau est très détendue et favorise la créativité.
"Meine Freunde und ich treffen uns jeden Wochenende, um gemeinsam etwas zu unternehmen.",Mes amis et moi nous rencontrons chaque week-end pour faire quelque chose ensemble.
"Der Vorteil eines Universitätsstudiums ist, dass man viele verschiedene Fächer kennenlernen kann.",L'avantage d'une formation universitaire est qu'on peut découvrir de nombreuses matières différentes.
"Ich bin froh, dass ich eine gute Balance zwischen meinem Beruf und meinem Privatleben gefunden habe.",Je suis heureux d'avoir trouvé un bon équilibre entre ma carrière et ma vie privée.
"Die Kommunikation mit meinen Kollegen ist sehr wichtig, um erfolgreich zu sein.",La communication avec mes collègues est très importante pour réussir.
"Ich denke, dass das Wichtigste in einer Beziehung das Vertrauen ist.",Je pense que l'essentiel dans une relation c'est la confiance.
"Es ist nicht leicht, eine Karriere und gleichzeitig ein sociales Leben zu führen.",Ce n'est pas facile de concilier une carrière et en même temps une vie sociale.
Meine Universitätszeit war eine der besten Zeiten in meinem Leben.,Mon temps à l'université a été l'un des meilleurs moments de ma vie.
"Ich wünsche mir, dass ich mehr Zeit mit meinen Freunden verbringen könnte.",Je souhaite pouvoir passer plus de temps avec mes amis.
"Ein guter Chef ist jemand, der seine Mitarbeiter motiviert und unterstützt.",Un bon chef est quelqu'un qui motive et soutient ses employés.
"Ich hoffe, dass ich nach meinem Abschluss einen guten Job finden werde.",J'espère trouver un bon emploi après avoir obtenu mon diplôme.
Meine Freundin arbeitet im Büro nebenan.,Mon amie travaille dans le bureau à côté.
Wir haben uns auf dem Campus kennengelernt.,Nous nous sommes rencontrés sur le campus.
"Der Professor ist sehr streng, aber fair.","Le professeur est très sévère, mais juste."
Ich verbringe viel Zeit mit meinen Kollegen aus dem Büro.,Je passe beaucoup de temps avec mes collègues du bureau.
Mein bester Freund hat mich zu einer Party eingeladen.,Mon meilleur ami m'a invité à une fête.
Wir machen oft Pause zusammen im Park.,Nous faisons souvent des pauses ensemble au parc.
Die Beziehungen zwischen den Studenten sind sehr wichtig.,Les relations entre les étudiants sont très importantes.
"Ich bin froh, dass ich solche netten Kollegen habe.",Je suis heureux d'avoir de tels collègues sympathiques.
Das Leben als Student ist nicht immer leicht.,La vie d'étudiant n'est pas toujours facile.
Wir unterstützen uns gegenseitig bei unseren Projekten.,Nous nous soutenons mutuellement dans nos projets.
Die Kommunikation zwischen den Abteilungen ist manchmal schwierig.,La communication entre les départements est parfois difficile.
Mein Chef ist sehr zufrieden mit meiner Arbeit.,Mon patron est très satisfait de mon travail.
"Ich hoffe, dass ich bald einen Job in meinem Traumunternehmen finde.",J'espère que je trouverai bientôt un emploi dans mon entreprise idéale.
Die Atmosphäre im Büro ist sehr entspannt.,L'ambiance au bureau est très détendue.
Wir feiern oft die Geburtstage unserer Kollegen.,Nous célébrons souvent les anniversaires de nos collègues.
Die Zusammenarbeit zwischen den Teams ist sehr erfolgreich.,La collaboration entre les équipes est très réussie.
Ich bin dankbar für meine Freundschaften aus der Uni-Zeit.,Je suis reconnaissant pour mes amitiés de l'époque universitaire.
Das Office-Team ist wie eine zweite Familie für mich.,L'équipe du bureau est comme une deuxième famille pour moi.
Die Universitätsbibliothek ist ein wichtiger Ort für mich zum Lernen.,La bibliothèque universitaire est un endroit important pour moi pour apprendre.
Mein Professor ist sehr freundlich und hilft mir bei meinen Studien.,Mon professeur est très gentil et m'aide dans mes études.
"Ich bin dankbar für meine Freundschaften, die ich während meines Studiums gemacht habe.",Je suis reconnaissant pour les amitiés que j'ai faites pendant mes études.
Meine Kommilitonen sind alle sehr nett und unterstützen sich gegenseitig.,Mes camarades de classe sont tous très gentils et se soutiennent mutuellement.
