German,French
Der schärfste Geist in der Stadt!,Tu sais que je suis le meilleur fantôme.
Die Kraeturen sind über neun Fuss gross.,"Ces lézards nouveaux- nés mesurent plus de 2, 70 m."
"Magere kämpfen, bis sie Hamburger sind.",Les maigres sont coriaces.
"Hey, wie funktioniert 'n so was hier?",Comment ça marche?
"Scheiße, jetzt geht er zu weit.",ll est allé trop loin.
Ich will die Griechen zu einem Abkommen bewegen.,Je les convaincrai qu'il vaut mieux traiter avec nous.
"Merkt ihr nicht, dass die Kleine singt?",La petite dame essaie de chanter.
Ich spreche da wohl im Namen aller.,"Et, je crois que je parle pour nous tous, en disant ça!"
"Wenn Sie ins Krankenhaus fahren, lassen Sie bitte das Kostüm hier!","Si vous allez à l'hôpital, laissez le costume, s'il vous plait."
"Sie sollte bei ihrer Oma wohnen, drüben auf der Creekmore Avenue, was mich froh machte, weil sie viel näher war.","Elle est allée chez sa grand- mère, avenue Creekmore, ce qui m'a rendu heureux car c'était tout près."
"Guck dich um, was für ein Scheiss!",Et moi je suis ruiné!
Aber später hat sich alles geändert.,Il s'est passé quelque chose?
"Alabama, zusammen und boten mir einen Job an.","Comme j'avais été une star du football et un héros de guerre, et une célébrité nationale, et capitaine de crevettier, et diplômé, le conseil municipal de Greenbow en Alabama a décidé de se réunir pour m'offrir un bon job."
"Ja, das passt eher zu dir.",Tu y arriveras pas.
Also ist Kung- Fu einfach wundervoll!,Le kung- fu c'est merveilleux!
Ich behalte das als Arschloch- Steuer.,Je les garde comme taxe sur ta connerie.
"Wenn du dich beeilst, könnte es in deiner Zukunft eine Prinzessin geben.",Ce qui veut dire que si tu te dépéches il pourrait y avoir une princesse dans ton avenir.
Es brauchte jemanden der gütig zu mir war.,"Mais maintenant, c'est fini."
"Jetzt denken Sie mal nach und hören Sie auf, ein Klugscheißer zu sein.",Vous voulez esayer?
"Sie wissen, dass ich in der Partei bin.","Je suis membre du Parti, vous le savez!"
Das tat er alle sechs Jahre.,Il fait ça tous les 6 ans.
"Es gab keinen Prozess, keine Untersuchung.","Il n'y a eu aucun procès, aucune enquête."
"Hören Sie, ich geh am Wochenende klettern.",Viendrez- vous?
Ist dieser Siletsky wirklich eine Gefahr für Polen?,Ce Siletsky met- il vraiment la Pologne en danger?
Wir hätten uns nie darauf einlassen sollen.,Je l'avais dit que ça ne marcherait pas.
"Aufruhr entstand letzte Nacht in einigen Elektronikläden, die ausverkauft waren.","Hier, c'était l'émeute dans les magasins en rupture de stock."
"Kyoami, ist es nur ein Kaninchen?","Kyoami, est- ce un lapin?"
